employee_id,age,gender,department,job_level,tenure_years,salary,compa_ratio,performance_rating,engagement_score,satisfaction_score,overtime_hours_per_week,years_since_last_promotion,work_life_balance,training_hours_last_year,manager_tenure_years,num_prior_companies,commute_miles,attrited
EMP00039,35,Female,Sales,2,6.1,90700,1.116,4,4.6,2.5,1.7,0.1,3,40,14.9,6,11,0
EMP00040,26,Male,Marketing,2,0.3,65800,0.85,5,5.1,3.9,2.6,0.7,3,60,11.1,1,8,1
EMP00041,31,Male,Sales,3,9.1,95900,0.762,3,7.7,1.1,7.2,0.2,2,80,2.2,5,37,0
EMP00042,22,Male,HR,2,0.3,58600,0.723,4,6.1,3.9,5.6,1.5,3,60,5.1,2,29,1
EMP00043,22,Female,HR,3,1.4,75100,0.72,2,9.4,3.1,1.3,5.5,3,60,7.1,5,9,0
EMP00044,41,Female,Operations,2,6.8,78300,0.872,4,7.4,2.6,0.9,1.6,3,40,9.2,4,1,0
EMP00045,22,Male,Engineering,2,1.9,74400,1.093,4,5.6,3.3,6.8,4.7,4,40,0.5,1,35,0
EMP00046,27,Male,Sales,4,0.5,129300,0.958,3,6.5,6.5,15.6,1.0,3,10,1.4,5,2,1
EMP00047,33,Female,Operations,3,2.2,123700,0.879,5,6.6,5.0,0.1,1.0,4,20,1.5,3,4,0
EMP00048,22,Female,Engineering,3,1.6,122200,1.098,5,5.2,3.4,1.5,5.6,3,0,2.3,1,2,0
EMP00049,34,Male,Engineering,4,9.2,155700,0.73,2,4.9,3.1,3.4,1.4,4,10,0.7,1,3,0
EMP00050,32,Female,Operations,4,1.9,112600,0.72,4,7.8,3.8,0.9,3.9,3,20,2.7,3,24,0
EMP00051,32,Male,Engineering,3,7.8,105300,0.877,3,8.0,4.2,4.3,0.7,2,10,4.4,3,13,0
EMP00052,49,Male,Engineering,3,11.1,110300,0.86,4,7.6,5.7,0.6,7.4,3,60,2.8,4,47,1
EMP00053,22,Female,Sales,3,2.8,95800,0.906,4,9.2,3.5,14.1,2.1,1,60,4.4,4,4,0
EMP00054,41,Female,Finance,3,12.0,110300,1.038,3,5.5,4.6,4.2,3.6,3,10,0.5,3,10,0
EMP00055,27,Male,Marketing,3,2.4,95200,0.903,5,9.5,5.5,1.6,0.2,3,20,8.3,4,57,0
EMP00056,43,Female,Operations,3,16.6,123000,0.798,3,4.9,4.7,1.6,1.7,4,60,11.2,3,26,1
EMP00057,29,Male,Sales,1,0.5,50800,0.97,4,4.7,4.8,1.5,5.8,3,60,3.8,2,20,0
EMP00058,27,Female,R&D,4,5.8,159200,0.968,4,3.3,1.0,0.7,5.2,4,60,8.5,6,3,0
EMP00059,30,Male,Engineering,4,3.4,156300,0.954,3,5.7,2.7,0.6,0.1,2,80,0.6,1,22,0
EMP00060,22,Female,HR,1,2.5,50600,0.955,3,5.6,2.1,2.0,0.9,2,80,6.4,2,6,0
EMP00061,33,Female,Marketing,3,5.0,130200,1.227,4,7.4,1.5,2.3,1.5,3,20,0.5,4,11,0
EMP00062,32,Male,Operations,1,6.1,53200,0.944,4,6.9,2.6,8.9,0.5,3,20,2.1,2,14,0
EMP00063,29,Female,Finance,2,0.3,60100,0.864,3,4.4,7.3,0.2,3.3,1,40,1.6,1,14,0
EMP00064,32,Female,Engineering,3,0.9,107200,1.196,4,5.8,4.9,4.2,0.5,2,20,3.5,1,19,0
EMP00065,33,Female,Operations,1,6.2,54500,0.954,2,5.8,7.2,2.2,1.1,3,60,1.4,3,16,0
EMP00066,31,Male,Sales,3,5.5,115000,0.89,3,3.3,3.6,3.2,2.7,3,40,4.1,7,1,0
EMP00067,35,Female,Engineering,3,16.9,93200,0.745,4,4.7,1.7,9.1,1.6,4,40,1.8,3,9,0
EMP00068,28,Female,R&D,2,7.2,103000,1.171,2,5.1,2.6,0.7,3.4,3,20,7.9,3,16,0
EMP00069,44,Male,Sales,1,15.1,76900,1.104,4,9.1,7.0,12.8,8.1,1,40,4.0,2,5,0
EMP00070,38,Female,HR,2,6.1,67500,0.72,4,6.8,5.2,3.3,0.3,4,40,1.0,2,6,0
EMP00071,26,Male,R&D,3,1.8,83900,0.72,5,7.7,4.0,1.3,3.1,3,60,1.6,1,2,0
EMP00072,27,Male,Sales,5,0.6,255500,1.156,4,3.8,1.0,2.5,0.7,4,20,7.5,2,8,0
EMP00073,28,Male,Engineering,3,7.6,102500,0.852,5,8.6,10.0,1.2,1.3,4,60,2.0,2,65,0
EMP00074,36,Female,Sales,2,5.2,73000,0.894,4,8.8,5.5,2.0,0.1,4,60,3.1,1,5,0
EMP00075,30,Female,Operations,3,0.3,73200,0.819,4,2.9,1.3,2.9,0.4,3,40,4.2,1,11,0
EMP00076,37,Male,Sales,2,2.2,74200,0.777,5,5.2,3.6,5.5,1.0,3,40,1.7,4,20,0
EMP00077,34,Female,HR,3,15.7,124200,0.996,4,7.4,4.4,1.6,1.0,3,40,1.4,5,1,1
EMP00078,27,Male,Engineering,1,3.5,64600,1.021,2,7.7,5.2,3.1,5.7,3,20,2.6,6,35,0
EMP00079,29,Male,Operations,3,2.8,86400,0.732,4,5.3,5.8,1.8,3.4,3,10,1.0,3,7,0
EMP00080,32,Male,Operations,2,3.1,64000,0.844,5,6.0,3.7,10.9,9.0,3,60,1.3,1,31,1
EMP00081,26,Female,Operations,5,1.2,217600,0.956,4,5.4,1.4,0.1,2.3,4,40,0.5,4,1,0
EMP00082,23,Female,Engineering,2,2.3,89900,1.057,4,6.7,4.1,10.7,0.7,2,20,1.4,1,2,0
EMP00083,32,Female,R&D,3,2.3,83600,0.72,4,8.7,4.8,2.6,1.0,4,40,1.5,3,6,0
EMP00084,30,Female,Engineering,4,0.3,163800,1.218,5,5.1,5.9,5.3,1.0,4,20,13.1,4,6,0
EMP00085,27,Male,Operations,1,7.3,62600,1.115,2,8.3,7.5,1.7,1.0,3,10,3.6,4,28,0
EMP00086,35,Female,Finance,4,2.7,171000,1.213,4,5.1,3.5,1.8,2.8,3,40,6.2,7,1,0
EMP00087,39,Male,Marketing,3,8.6,114400,0.942,3,5.0,1.0,6.3,1.9,3,20,0.5,4,15,0
EMP00088,34,Male,Engineering,1,9.5,45200,0.72,4,8.0,3.0,8.9,1.2,4,10,0.5,3,2,0
EMP00089,27,Male,Engineering,2,1.2,75000,1.013,4,8.2,5.4,1.1,0.4,2,20,6.7,2,26,0
EMP00090,33,Female,Sales,3,5.4,127300,1.377,3,8.0,5.8,2.0,0.1,3,40,3.9,6,23,0
EMP00091,24,Male,Sales,1,3.2,51300,0.831,3,4.1,2.0,3.3,0.6,3,0,0.8,1,10,1
EMP00092,35,Female,Sales,2,10.6,84600,0.751,4,5.7,2.8,15.4,0.3,3,20,2.1,6,4,1
EMP00093,22,Male,R&D,2,1.2,74800,0.928,3,8.0,4.1,1.2,3.8,4,20,3.1,2,15,0
EMP00094,35,Male,Engineering,3,5.7,73500,0.72,3,6.6,4.2,3.3,0.3,3,0,7.4,1,3,0
EMP00095,22,Female,Sales,1,4.7,75400,1.173,4,4.6,1.0,4.4,3.2,2,10,0.5,5,3,0
EMP00096,35,Male,Engineering,4,1.7,127200,0.842,3,7.3,2.8,6.7,1.2,3,10,3.6,1,15,0
EMP00097,25,Female,Finance,5,0.7,217400,0.975,4,5.2,2.3,2.5,0.2,2,10,5.0,5,71,1
EMP00098,29,Female,Engineering,5,5.3,216400,0.931,5,9.7,8.5,2.4,4.2,4,60,15.2,2,33,0
EMP00099,28,Male,Finance,3,6.7,133600,1.201,3,9.3,4.6,10.2,2.2,4,20,6.6,5,13,0
EMP00100,26,Female,Engineering,1,1.9,60200,1.138,3,7.6,5.3,3.1,0.7,4,10,1.3,3,12,0
EMP00101,37,Male,Sales,3,5.2,105800,0.973,4,8.9,6.2,4.2,5.6,3,10,4.9,3,80,0
EMP00102,22,Male,Operations,1,2.5,50700,0.847,4,6.6,6.6,1.3,0.1,3,20,5.8,2,12,0
EMP00103,37,Female,Engineering,1,6.2,68400,1.13,5,7.9,7.4,5.0,0.6,2,40,5.2,1,8,0
EMP00104,29,Male,Finance,2,1.1,58800,0.742,5,9.2,5.9,0.9,3.5,3,20,6.9,5,36,1
EMP00105,29,Female,Operations,2,11.0,98400,1.011,4,6.9,3.6,0.8,3.1,2,10,9.4,1,4,0
EMP00106,22,Female,Operations,3,1.7,88400,0.784,3,6.0,2.7,3.8,0.9,4,20,0.5,2,2,1
EMP00107,36,Non-binary,Engineering,3,2.3,124100,1.039,2,3.4,1.8,9.6,0.2,2,40,0.5,3,15,0
EMP00108,22,Male,Marketing,2,0.3,77100,1.013,3,6.4,3.4,3.4,4.9,4,0,6.4,2,2,0
EMP00109,22,Male,Sales,2,0.6,83000,1.245,3,8.0,6.2,2.2,0.9,3,40,1.2,1,7,0
EMP00110,35,Female,Sales,5,3.6,215400,1.033,4,8.2,6.1,6.5,0.5,3,20,0.5,1,8,0
EMP00111,29,Male,HR,2,1.6,60400,0.775,4,7.4,5.9,1.8,1.8,2,0,2.1,1,12,0
EMP00112,29,Female,HR,2,9.0,77300,1.034,2,5.5,5.8,2.7,6.0,3,40,6.9,5,72,0
EMP00113,27,Female,Engineering,1,0.3,60800,0.956,4,2.9,5.2,4.9,0.1,3,40,0.5,1,4,1
EMP00114,23,Male,Operations,3,2.4,106800,1.0,3,5.6,3.9,3.8,3.6,4,40,4.5,7,7,0
EMP00115,33,Male,Engineering,3,2.1,122400,1.126,4,6.0,5.9,10.0,2.1,2,20,0.5,1,2,0
EMP00116,32,Female,Sales,1,0.3,58500,0.922,4,5.9,3.2,1.4,1.4,4,40,0.5,1,14,0
EMP00117,29,Female,Sales,1,0.7,48600,0.927,4,7.6,7.1,3.6,3.4,4,20,1.7,3,20,0
EMP00118,30,Male,Sales,3,2.7,93800,0.836,4,10.0,8.4,7.2,8.4,2,40,0.5,1,10,1
EMP00119,38,Male,Marketing,3,3.4,107700,1.013,2,6.7,6.2,3.6,0.7,4,40,7.5,3,4,0
EMP00120,28,Male,Finance,2,2.6,56800,0.73,4,6.1,4.1,3.7,0.4,3,10,8.0,5,15,0
EMP00121,23,Female,Finance,5,3.8,270100,1.346,4,6.0,2.7,3.4,6.1,4,40,5.6,1,12,0
EMP00122,32,Male,Operations,1,4.5,63200,0.885,5,6.7,1.8,1.5,2.8,2,40,1.1,4,3,0
EMP00123,37,Female,Operations,2,0.3,89500,1.231,4,5.0,3.2,1.5,1.4,2,20,3.0,2,8,0
EMP00124,23,Male,Marketing,4,3.1,118500,0.739,4,6.7,7.1,0.9,2.1,2,60,0.8,1,9,0
EMP00125,37,Female,Engineering,2,16.6,116000,1.367,4,7.3,4.2,6.7,3.4,3,60,1.3,1,61,0
EMP00126,31,Male,Engineering,3,3.7,145800,1.198,5,6.9,5.9,14.3,3.7,3,10,2.9,6,28,0
EMP00127,30,Female,Operations,2,5.7,68700,0.733,3,7.3,6.3,0.3,6.3,4,60,5.3,1,20,0
EMP00128,23,Male,Operations,2,1.9,86400,1.095,4,7.3,4.2,8.3,1.4,4,20,0.5,5,33,0
EMP00129,38,Female,Engineering,5,7.4,226700,0.997,4,3.3,4.5,9.6,0.9,2,40,1.4,3,20,0
EMP00130,44,Male,Engineering,2,7.4,68500,0.755,4,7.6,1.0,8.7,2.6,1,60,10.4,1,35,0
EMP00131,30,Female,Marketing,4,3.7,160000,0.841,3,5.3,1.2,7.1,1.3,3,40,2.2,2,1,0
EMP00132,36,Female,Marketing,1,18.7,82600,1.269,4,4.5,1.3,1.6,2.3,3,20,11.2,4,9,0
EMP00133,22,Male,Engineering,1,0.7,51200,0.848,3,4.5,1.4,7.0,1.4,3,60,19.0,4,21,0
EMP00134,28,Female,Operations,1,0.3,65100,1.288,4,7.3,5.4,0.5,0.4,3,20,3.0,2,13,0
EMP00135,37,Female,Operations,3,7.4,89700,0.773,4,6.1,4.5,0.1,1.6,2,20,1.4,5,3,0
EMP00136,35,Male,Finance,2,8.2,69800,0.808,5,3.5,3.0,4.6,2.9,3,20,6.3,1,6,0
EMP00137,26,Male,Sales,4,0.6,144200,1.061,4,7.4,5.9,7.8,4.0,3,60,0.7,6,6,0
EMP00138,24,Male,Engineering,2,1.5,77300,0.999,3,3.9,1.0,14.0,1.7,2,60,1.2,5,5,0
EMP00139,22,Female,Engineering,5,0.3,181900,1.012,3,6.8,2.2,6.9,0.5,4,20,6.1,4,6,0
EMP00140,32,Female,Operations,1,1.7,63500,1.004,5,6.9,5.2,4.2,1.3,2,60,2.3,4,11,0
EMP00141,36,Male,Operations,4,7.4,170900,1.256,3,8.1,4.1,0.8,3.9,4,20,0.9,3,29,0
EMP00142,22,Male,Engineering,3,3.6,120100,1.054,4,9.7,3.5,19.2,1.3,2,80,4.2,3,20,0
EMP00143,36,Female,Marketing,3,2.1,102000,1.007,3,4.0,4.3,0.1,3.0,4,40,5.3,3,27,0
EMP00144,31,Female,Sales,3,2.3,113300,1.212,4,6.4,6.7,6.5,1.8,2,0,0.5,2,32,0
EMP00145,33,Male,Marketing,3,0.3,94500,0.92,4,6.0,6.7,0.6,0.7,3,0,1.3,3,8,0
EMP00146,22,Female,Marketing,3,1.8,137600,1.4,3,7.3,5.1,3.6,4.0,3,10,1.0,2,6,0
EMP00147,23,Male,Engineering,1,5.2,53700,0.873,3,6.9,5.6,2.7,0.2,4,10,1.9,2,1,0
EMP00148,40,Male,Operations,1,18.3,98200,1.4,5,5.9,6.3,0.2,1.9,3,40,5.8,2,40,0
EMP00149,36,Female,Sales,4,9.4,164500,0.93,4,5.7,2.6,8.8,0.6,3,20,5.0,1,1,0
EMP00150,35,Male,Sales,3,0.3,82900,0.903,4,4.5,4.9,1.6,0.2,4,80,4.3,2,20,1
EMP00151,39,Male,Engineering,3,11.4,146000,1.221,5,8.3,5.9,7.8,1.7,3,40,0.5,5,7,0
EMP00152,31,Male,Finance,2,7.6,86800,0.963,5,7.3,6.4,0.8,1.7,2,40,0.6,2,45,0
EMP00153,27,Female,Sales,1,7.6,70400,1.185,3,8.2,5.7,5.8,3.1,3,20,1.0,4,8,0
EMP00154,35,Female,Sales,1,3.1,68900,1.18,5,5.9,6.2,4.8,3.4,3,60,1.3,1,25,0
EMP00155,23,Male,Finance,3,2.5,109600,1.209,2,5.3,3.8,1.0,3.3,3,40,0.6,2,5,0
EMP00156,36,Male,Engineering,2,1.8,71300,0.859,3,4.6,1.0,3.5,1.3,3,60,2.1,1,5,0
EMP00157,25,Male,Marketing,1,0.3,63400,0.96,5,7.1,7.2,5.1,2.5,4,80,0.5,1,14,0
EMP00158,35,Female,Sales,2,1.3,76800,0.753,3,4.6,1.3,1.1,2.2,4,10,5.5,3,80,0
EMP00159,31,Male,Operations,1,1.4,62100,1.085,3,9.8,8.6,0.3,1.4,2,10,6.2,3,11,0
EMP00160,28,Female,Engineering,2,3.3,58800,0.72,3,4.1,2.5,2.9,2.3,2,60,3.4,1,41,0
EMP00161,29,Male,HR,2,6.9,89800,1.242,4,7.0,6.7,1.7,7.4,4,60,0.5,2,23,0
EMP00162,27,Male,Engineering,3,3.2,96700,0.777,4,9.3,8.1,3.9,0.5,4,40,8.8,5,24,0
EMP00163,28,Male,Marketing,2,0.3,95000,1.164,4,7.6,5.7,1.4,5.9,4,20,13.5,1,9,0
EMP00164,39,Male,Marketing,2,15.8,105100,1.091,5,6.8,5.3,4.7,0.1,3,40,0.9,1,7,0
EMP00165,34,Female,Marketing,1,14.3,71500,0.874,4,4.8,3.9,0.1,0.9,4,20,4.9,3,3,0
EMP00166,31,Male,Engineering,1,7.7,67000,1.069,3,4.0,1.0,3.8,0.8,4,20,7.4,1,50,0
EMP00167,45,Male,Sales,2,23.7,93000,0.853,5,7.9,5.3,6.5,2.5,3,20,3.1,7,48,0
EMP00168,22,Male,R&D,2,3.9,100700,1.179,3,9.2,4.0,3.1,0.4,3,20,1.6,3,21,0
EMP00169,41,Male,Engineering,3,16.5,171400,1.399,3,5.7,4.0,11.5,5.4,3,20,2.6,2,5,0
EMP00170,22,Male,Engineering,2,0.4,79800,0.952,2,4.4,1.0,6.3,4.4,3,80,2.9,2,4,0
EMP00171,22,Male,Engineering,3,2.3,130100,1.376,4,2.1,1.0,19.2,2.6,3,60,2.0,3,67,0
EMP00172,22,Female,R&D,4,1.3,132300,1.02,3,4.7,5.9,1.1,1.5,4,60,10.6,1,1,0
EMP00173,22,Female,R&D,3,1.1,91200,0.975,3,6.3,6.0,0.1,6.8,4,60,5.4,6,28,0
EMP00174,22,Male,Operations,1,0.8,56100,0.929,3,9.4,6.1,0.5,4.4,4,20,1.1,3,7,0
EMP00175,26,Male,Engineering,2,4.9,86700,1.11,3,7.7,5.3,7.9,1.7,3,60,3.5,1,8,0
EMP00176,42,Female,HR,1,7.6,59200,1.055,4,7.0,4.1,1.1,3.0,3,60,4.7,3,27,0
EMP00177,27,Male,HR,1,4.3,63900,1.128,4,5.8,4.8,0.3,2.1,4,60,0.6,1,1,0
EMP00178,28,Male,Sales,5,0.8,211800,1.044,4,5.5,2.4,2.7,2.2,3,40,1.8,1,7,0
EMP00179,35,Male,Marketing,1,8.3,55000,0.952,3,9.0,7.6,1.2,1.0,2,20,9.4,3,46,0
EMP00180,31,Male,HR,2,5.1,88100,1.185,3,6.9,4.0,0.4,1.6,3,0,3.3,3,18,0
EMP00181,28,Female,Finance,3,2.5,117900,0.905,5,2.7,1.0,1.1,0.2,2,10,1.0,3,21,0
EMP00182,25,Male,Engineering,3,5.6,112800,1.095,1,5.3,3.5,7.3,1.1,3,80,0.5,1,21,0
EMP00183,34,Female,Sales,2,1.5,90500,1.206,5,5.0,2.2,1.9,3.0,3,20,2.9,3,1,0
EMP00184,37,Male,Finance,1,2.1,48100,0.867,3,5.5,4.2,3.8,7.7,3,60,3.2,1,3,1
EMP00185,28,Male,Sales,2,12.5,98100,1.07,5,7.5,3.9,4.6,8.2,4,20,1.6,3,10,0
EMP00186,22,Female,Engineering,2,1.7,65600,0.792,3,6.3,4.9,8.5,2.0,4,40,4.0,3,7,0
EMP00187,27,Male,HR,1,3.2,49800,0.769,4,6.4,6.3,0.8,2.3,4,0,0.5,3,8,0
EMP00188,30,Female,Engineering,2,11.0,82300,0.911,4,8.9,4.5,2.6,0.5,3,20,0.6,5,23,0
EMP00189,33,Male,Marketing,1,6.2,53600,0.97,4,5.2,3.1,2.7,3.0,4,20,3.2,5,1,0
EMP00190,23,Female,Operations,1,0.3,51200,0.814,3,9.9,7.3,1.3,0.2,4,40,0.5,8,16,0
EMP00191,37,Male,Marketing,2,0.8,73800,0.976,4,5.3,2.7,0.7,0.8,3,10,8.5,7,1,0
EMP00192,32,Female,Sales,1,0.3,62200,0.945,4,6.7,5.2,4.6,2.8,4,40,0.6,4,1,1
EMP00193,31,Male,Finance,2,5.0,78200,1.176,2,6.0,4.9,6.4,0.9,2,20,4.5,7,8,0
EMP00194,34,Female,R&D,3,3.0,84400,0.776,1,6.7,6.3,1.7,0.1,4,60,2.0,5,28,0
EMP00195,32,Male,Finance,3,0.7,118800,0.966,4,7.3,3.7,2.9,4.5,3,10,2.0,4,2,0
EMP00196,36,Female,Operations,1,15.8,62800,0.878,3,7.3,3.0,2.0,0.9,3,40,5.8,1,12,0
EMP00197,25,Male,Operations,1,3.8,58300,1.001,4,5.1,2.8,6.2,0.2,2,20,2.8,1,17,0
EMP00198,28,Female,Engineering,1,1.4,60000,1.027,3,4.5,1.2,3.5,0.2,3,40,5.2,5,4,0
EMP00199,33,Male,Finance,3,3.5,109300,1.073,4,10.0,7.5,2.0,0.7,3,20,2.8,2,11,0
EMP00200,31,Male,Sales,3,5.7,128500,1.178,3,5.6,1.5,8.8,0.5,4,40,3.6,4,36,0
EMP00201,22,Male,Engineering,1,0.4,59200,1.104,4,7.8,9.3,7.7,3.7,4,60,5.7,2,11,0
EMP00202,23,Male,Operations,4,1.6,127700,0.938,3,3.6,4.7,0.4,1.0,4,0,3.7,2,3,0
EMP00203,32,Male,Operations,1,8.2,85600,1.166,2,6.0,3.9,0.6,4.1,3,0,3.8,4,15,0
EMP00204,28,Female,Engineering,2,3.1,81400,0.97,2,6.3,5.7,5.7,0.5,4,40,6.2,6,13,0
EMP00205,39,Non-binary,Engineering,3,4.0,105000,0.941,5,7.4,1.9,5.6,1.7,3,40,11.9,1,1,0
EMP00206,22,Male,Sales,4,2.8,168300,1.044,3,1.6,5.6,3.2,2.9,4,20,1.9,5,1,0
EMP00207,29,Female,Sales,3,0.3,104100,1.062,4,6.8,3.4,2.5,2.6,2,20,3.4,4,3,0
EMP00208,34,Female,Marketing,3,0.9,107500,1.139,2,4.4,2.6,3.0,2.3,3,0,0.5,2,2,0
EMP00209,40,Male,Finance,2,2.9,111900,1.4,3,7.1,1.3,1.7,6.5,4,10,1.8,2,5,0
EMP00210,25,Female,Engineering,3,1.2,98300,0.958,4,4.6,3.9,4.8,0.6,4,20,2.1,1,9,0
EMP00211,29,Female,HR,1,0.3,52900,1.062,4,5.0,1.3,0.3,1.7,3,60,7.2,1,7,1
EMP00212,36,Non-binary,Engineering,4,9.3,166100,1.035,5,6.0,4.1,13.6,5.4,3,20,2.9,2,33,1
EMP00213,43,Male,Finance,2,19.9,118400,1.156,5,4.6,2.0,4.2,0.2,2,40,5.3,1,14,0
EMP00214,32,Female,Operations,3,7.9,92500,0.72,4,5.6,1.7,3.0,0.1,4,60,0.5,1,31,0
EMP00215,36,Male,R&D,2,9.6,66800,0.97,4,4.4,1.4,1.1,0.7,3,20,2.5,5,11,0
EMP00216,22,Male,Engineering,3,1.4,94400,0.932,4,3.2,2.5,1.7,2.5,2,40,9.3,3,1,0
EMP00217,42,Male,Engineering,2,16.2,77100,0.72,3,8.3,3.1,4.6,0.8,2,60,1.0,3,9,0
EMP00218,28,Non-binary,Finance,3,1.1,96100,0.927,5,4.2,1.4,3.3,0.5,2,20,0.5,1,26,0
EMP00219,37,Female,Engineering,1,15.1,75000,0.949,4,6.2,5.2,6.3,1.5,4,20,2.3,5,3,0
EMP00220,57,Female,Finance,1,26.3,71500,0.815,4,7.9,9.8,1.4,2.4,2,80,4.9,5,1,0
EMP00221,28,Male,Sales,1,6.2,50100,0.857,3,5.4,4.4,5.4,0.7,3,80,2.4,3,6,0
EMP00222,40,Male,Engineering,1,19.9,75400,1.193,2,5.0,1.6,9.0,0.9,3,20,2.5,6,7,0
EMP00223,39,Male,Sales,4,4.2,169900,1.088,5,6.9,3.8,2.3,2.4,3,10,4.4,5,5,0
EMP00224,23,Male,Finance,1,1.5,44600,0.848,3,8.5,5.6,1.8,7.3,4,20,1.2,4,2,0
EMP00225,26,Male,R&D,5,2.9,236000,1.202,4,4.4,2.2,4.3,2.8,3,20,5.6,4,4,0
EMP00226,29,Female,Operations,2,4.5,90900,1.159,3,6.2,5.7,2.4,3.8,3,20,0.7,1,17,0
EMP00227,31,Male,Finance,1,0.4,63300,0.958,4,3.4,2.6,3.2,1.1,3,40,2.0,2,7,0
